"","w","h","A"
"1",68,44,2992
"2",66,44,2904
"3",66,44,2904
"4",66,44,2904
"5",66,43,2838
"6",68,44,2992
"7",68,44,2992
"8",68,44,2992
"9",68,44,2992
"10",66,42,2772
"11",66,44,2904
"12",66,42,2772
"13",66,42,2772
"14",66,43,2838
"15",68,44,2992
"16",68,43,2924
"17",66,44,2904
"18",66,42,2772
"19",66,43,2838
"20",66,43,2838
"21",66,42,2772
"22",66,43,2838
"23",68,44,2992
"24",66,44,2904
"25",66,43,2838
"26",66,42,2772
"27",68,44,2992
"28",66,41,2706
"29",66,43,2838
"30",66,42,2772
"31",66,43,2838
"32",68,43,2924
"33",66,43,2838
"34",66,44,2904
"35",66,42,2772
"36",68,44,2992
"37",68,44,2992
"38",68,44,2992
"39",68,45,3060
"40",68,45,3060
"41",68,44,2992
"42",68,42,2856
"43",70,42,2940
"44",68,43,2924
"45",70,43,3010
"46",68,41,2788
"47",68,44,2992
