,X,w,h,A,value,wp2,hp2,Ap2
1,3,348,237,82476,40,121104,56169,6802290576
2,8,346,238,82348,40,119716,56644,6781193104
3,9,346,237,82002,40,119716,56169,6724328004
4,10,344,237,81528,40,118336,56169,6646814784
5,11,346,233,80618,40,119716,54289,6499261924
6,12,344,229,78776,40,118336,52441,6205658176
7,13,342,230,78660,40,116964,52900,6187395600
8,14,344,229,78776,40,118336,52441,6205658176
9,15,342,230,78660,40,116964,52900,6187395600
10,16,344,231,79464,40,118336,53361,6314527296
11,17,342,231,79002,40,116964,53361,6241316004
12,18,346,229,79234,40,119716,52441,6278026756
13,19,344,229,78776,40,118336,52441,6205658176
14,20,344,231,79464,40,118336,53361,6314527296
15,21,344,231,79464,40,118336,53361,6314527296
16,22,344,231,79464,40,118336,53361,6314527296
17,23,344,229,78776,40,118336,52441,6205658176
18,24,344,231,79464,40,118336,53361,6314527296
19,25,344,231,79464,40,118336,53361,6314527296
20,26,344,231,79464,40,118336,53361,6314527296
21,27,342,231,79002,40,116964,53361,6241316004
22,28,344,231,79464,40,118336,53361,6314527296
23,29,344,231,79464,40,118336,53361,6314527296
24,30,344,231,79464,40,118336,53361,6314527296
25,31,344,231,79464,40,118336,53361,6314527296
26,32,342,231,79002,40,116964,53361,6241316004
27,33,342,231,79002,40,116964,53361,6241316004
28,34,342,231,79002,40,116964,53361,6241316004
29,35,342,231,79002,40,116964,53361,6241316004
30,36,344,229,78776,40,118336,52441,6205658176
31,37,344,230,79120,40,118336,52900,6259974400
32,38,344,231,79464,40,118336,53361,6314527296
33,39,346,229,79234,40,119716,52441,6278026756
34,40,346,229,79234,40,119716,52441,6278026756
35,41,344,229,78776,40,118336,52441,6205658176
36,42,344,232,79808,40,118336,53824,6369316864
37,43,346,233,80618,40,119716,54289,6499261924
38,44,350,233,81550,40,122500,54289,6650402500
39,50,350,235,82250,40,122500,55225,6765062500
40,51,348,235,81780,40,121104,55225,6687968400
41,52,346,235,81310,40,119716,55225,6611316100
42,53,344,234,80496,40,118336,54756,6479606016
43,1,190,130,24700,80,36100,16900,610090000
44,3,192,130,24960,80,36864,16900,623001600
45,4,192,130,24960,80,36864,16900,623001600
46,7,192,130,24960,80,36864,16900,623001600
47,11,192,130,24960,80,36864,16900,623001600
48,12,192,130,24960,80,36864,16900,623001600
49,14,190,128,24320,80,36100,16384,591462400
50,15,190,128,24320,80,36100,16384,591462400
51,16,190,127,24130,80,36100,16129,582256900
52,17,192,127,24384,80,36864,16129,594579456
53,18,190,126,23940,80,36100,15876,573123600
54,19,190,127,24130,80,36100,16129,582256900
55,20,190,126,23940,80,36100,15876,573123600
56,21,192,125,24000,80,36864,15625,5.76E+08
57,22,192,125,24000,80,36864,15625,5.76E+08
58,23,190,127,24130,80,36100,16129,582256900
59,24,190,126,23940,80,36100,15876,573123600
60,25,190,126,23940,80,36100,15876,573123600
61,26,192,127,24384,80,36864,16129,594579456
62,27,190,127,24130,80,36100,16129,582256900
63,28,190,125,23750,80,36100,15625,564062500
64,29,190,127,24130,80,36100,16129,582256900
65,30,190,126,23940,80,36100,15876,573123600
66,31,192,126,24192,80,36864,15876,585252864
67,32,192,127,24384,80,36864,16129,594579456
68,33,190,128,24320,80,36100,16384,591462400
69,35,192,129,24768,80,36864,16641,613453824
70,36,190,128,24320,80,36100,16384,591462400
71,37,192,128,24576,80,36864,16384,603979776
72,39,192,129,24768,80,36864,16641,613453824
73,40,192,127,24384,80,36864,16129,594579456
74,41,190,128,24320,80,36100,16384,591462400
75,42,192,128,24576,80,36864,16384,603979776
76,43,192,129,24768,80,36864,16641,613453824
77,44,190,129,24510,80,36100,16641,600740100
78,45,190,127,24130,80,36100,16129,582256900
79,46,188,127,23876,80,35344,16129,570063376
80,47,188,127,23876,80,35344,16129,570063376
81,48,188,126,23688,80,35344,15876,561121344
82,49,186,124,23064,80,34596,15376,531948096
83,50,184,124,22816,80,33856,15376,520569856
84,51,182,124,22568,80,33124,15376,509314624
85,52,182,123,22386,80,33124,15129,501132996
86,53,182,122,22204,80,33124,14884,493017616
87,58,182,121,22022,80,33124,14641,484968484
88,59,182,121,22022,80,33124,14641,484968484
89,60,182,123,22386,80,33124,15129,501132996
90,61,184,123,22632,80,33856,15129,512207424
91,62,186,124,23064,80,34596,15376,531948096
92,63,188,125,23500,80,35344,15625,552250000
93,64,188,124,23312,80,35344,15376,543449344
94,65,190,127,24130,80,36100,16129,582256900
95,66,192,129,24768,80,36864,16641,613453824
96,67,190,130,24700,80,36100,16900,610090000
97,68,192,129,24768,80,36864,16641,613453824
98,69,192,129,24768,80,36864,16641,613453824
99,70,190,130,24700,80,36100,16900,610090000
100,71,190,130,24700,80,36100,16900,610090000
101,72,190,129,24510,80,36100,16641,600740100
102,73,190,130,24700,80,36100,16900,610090000
103,74,190,130,24700,80,36100,16900,610090000
104,75,190,129,24510,80,36100,16641,600740100
105,76,190,129,24510,80,36100,16641,600740100
106,77,190,129,24510,80,36100,16641,600740100
107,78,190,130,24700,80,36100,16900,610090000
108,86,188,129,24252,80,35344,16641,588159504
109,87,188,127,23876,80,35344,16129,570063376
110,88,186,124,23064,80,34596,15376,531948096
111,89,186,124,23064,80,34596,15376,531948096
112,90,186,122,22692,80,34596,14884,514926864
113,91,186,122,22692,80,34596,14884,514926864
114,92,186,123,22878,80,34596,15129,523402884
115,93,184,122,22448,80,33856,14884,503912704
116,94,184,122,22448,80,33856,14884,503912704
117,95,184,121,22264,80,33856,14641,495685696
